time,rule,magic,signal_id,dir,ref_entry,close_price,pips,closed_count,profit_usd,hold_min,remain,reason
2026.09.09 14:25:04,E,600004,-1004472107780_2253,BUY,4401.48,4406.46,49.8,4,12.10,11.1,4,E:1.1倍水準到達
2026.09.09 14:25:25,Q,600016,-1004472107780_2246,BUY,4394.75,4406.76,120.1,2,23.11,41.3,1,Q:半数決済
2026.09.09 14:26:20,S,600018,-1004472107780_2237,BUY,4387.50,4407.56,200.6,2,38.73,86.6,2,S:2段目
2026.09.09 14:26:21,G,600006,-1004472107780_2237,BUY,4387.50,4407.56,200.6,4,79.77,85.7,0,G:3段目(+200p)
2026.09.09 14:27:00,G,600006,-1004472107780_2230,SELL,4403.11,4408.00,-48.9,2,-10.23,151.3,0,SL確定足突破
2026.09.09 14:27:02,K,600010,-1004472107780_2230,SELL,4403.11,4408.00,-48.9,7,-40.19,156.1,0,SL確定足突破
2026.09.09 14:27:29,I,600008,-1004472107780_2253,BUY,4401.48,4408.98,75.0,4,20.38,13.4,4,I:TP1(半数)
2026.09.09 14:27:30,R,600017,-1004472107780_2253,BUY,4401.48,4408.98,75.0,2,13.14,11.6,1,R:半数決済
2026.09.09 14:49:03,T,600019,-1004472107780_2253,BUY,4401.48,4409.84,83.6,4,27.25,34.6,3,T:半数決済
2026.09.09 14:49:05,G,600006,-1004472107780_2253,BUY,4401.48,4409.84,83.6,3,17.67,34.1,2,G:2段目(+80p)
2026.09.09 14:49:07,E,600004,-1004472107780_2253,BUY,4401.48,4410.34,88.6,4,32.77,33.6,0,E:2.0倍水準到達
2026.09.09 14:49:07,U,600020,-1004472107780_2246,BUY,4395.10,4410.34,152.4,2,33.23,65.1,1,U:半数決済
2026.09.09 14:49:07,H,600007,-1004472107780_2253,BUY,4401.48,4411.88,104.0,0,0.00,0.0,4,H:建値移動(決済なし)
2026.09.09 14:49:07,S,600018,-1004472107780_2253,BUY,4401.48,4411.88,104.0,2,18.48,34.1,2,S:1段目
2026.09.09 14:49:09,P,600015,-1004472107780_2253,BUY,4401.48,4411.88,104.0,4,30.65,34.7,3,P:半数決済
2026.09.09 14:49:55,Q,600016,-1004472107780_2253,BUY,4401.48,4414.34,128.6,4,43.59,35.6,3,Q:半数決済
2026.09.09 14:49:55,T,600019,-1004472107780_2188,BUY,4405.32,4414.34,90.2,1,7.26,1347.4,0,T:半数決済
2026.09.09 14:49:58,G,600006,-1004472107780_2246,BUY,4394.45,4414.59,201.4,1,19.70,65.9,0,G:3段目(+200p)
2026.09.09 14:49:58,S,600018,-1004472107780_2246,BUY,4394.54,4414.59,200.5,1,19.33,65.9,1,S:2段目
2026.09.09 14:50:22,S,600018,-1004472107780_2188,BUY,4404.98,4415.06,100.8,1,7.98,1348.2,2,S:1段目
2026.09.09 14:50:42,P,600015,-1004472107780_2188,BUY,4405.10,4415.48,103.8,2,17.98,1348.2,1,P:半数決済
2026.09.09 14:55:00,Q,600016,-1004472107780_2253,BUY,4401.48,4407.14,56.6,3,15.80,39.0,0,SL確定足突破
2026.09.09 14:55:01,Q,600016,-1004472107780_2246,BUY,4394.75,4407.14,123.9,1,12.26,70.6,0,SL確定足突破
2026.09.09 14:55:01,Q,600016,-1004472107780_2237,BUY,4387.50,4407.14,196.4,2,38.37,113.4,0,SL確定足突破
2026.09.09 15:04:00,S,600018,-1004472107780_2246,BUY,4394.54,4405.01,104.7,1,10.35,79.9,0,SL確定足突破
2026.09.09 15:04:00,S,600018,-1004472107780_2237,BUY,4387.50,4405.01,175.1,2,34.62,122.4,0,SL確定足突破
2026.09.09 15:20:02,K,600010,-1004472107780_2253,BUY,4399.41,4396.62,-27.9,12,-61.53,45.5,0,SL確定足突破
2026.09.09 15:20:03,G,600006,-1004472107780_2253,BUY,4401.48,4396.62,-48.6,2,-10.45,63.9,0,SL確定足突破
2026.09.09 15:27:24,F,600005,-1004472107780_2265,BUY,4394.59,4396.64,20.5,2,3.63,1.4,2,F:半数決済(+20p)
2026.09.09 15:34:42,C,600002,-1004472107780_2265,BUY,4392.49,4396.62,41.3,4,7.61,8.6,4,C:TP1到達
2026.09.09 15:34:49,J,600009,-1004472107780_2265,BUY,4392.49,4396.62,41.3,4,8.87,8.7,4,J:TP1到達
2026.09.09 15:34:52,G,600006,-1004472107780_2265,BUY,4392.49,4396.62,41.3,3,6.14,8.6,5,G:1段目(+40p)
2026.09.09 15:34:55,H,600007,-1004472107780_2265,BUY,4392.49,4396.62,41.3,4,8.86,8.7,4,H:TP1到達
2026.09.09 15:35:05,E,600004,-1004472107780_2265,BUY,4392.49,4397.11,46.2,0,0.00,0.0,8,E:建値移動(決済なし)
2026.09.09 15:35:50,E,600004,-1004472107780_2265,BUY,4392.49,4397.51,50.2,4,6.48,10.0,4,E:1.1倍水準到達
2026.09.09 15:57:01,G,600006,-1004472107780_2265,BUY,4392.49,4400.95,84.6,3,21.54,28.2,2,G:2段目(+80p)
2026.09.09 16:02:43,U,600020,-1004472107780_2265,BUY,4391.00,4406.00,150.0,6,74.56,35.2,5,U:半数決済
2026.09.09 16:11:15,G,600006,-1004472107780_2265,BUY,4392.49,4412.56,200.7,2,39.74,40.9,0,G:3段目(+200p)
2026.09.09 16:11:48,F,600005,-1004472107780_2276,SELL,4413.50,4411.33,21.7,6,-7.93,2.3,6,F:半数決済(+20p)
2026.09.09 16:19:08,Q,600016,-1004472107780_2188,BUY,4405.00,4417.13,121.3,2,20.95,1436.8,1,Q:半数決済
2026.09.09 16:19:25,K,600010,-1004472107780_2276,SELL,4413.50,4417.56,-40.6,12,-76.96,9.2,0,K:HIT_SL
2026.09.09 16:19:29,K,600010,-1004472107780_2265,BUY,4391.00,4417.88,268.8,11,270.51,48.1,0,K:HIT_SL
2026.09.09 16:19:30,K,600010,-1004472107780_2246,BUY,4394.45,4417.51,230.6,4,91.33,155.5,0,K:HIT_SL
2026.09.09 16:19:32,K,600010,-1004472107780_2237,BUY,4387.50,4417.69,301.9,12,329.26,202.7,0,K:HIT_SL
2026.09.09 16:20:03,Q,600016,-1004472107780_2276,SELL,4413.50,4417.23,-37.3,12,-72.44,9.8,0,SL確定足突破
2026.09.09 16:20:06,G,600006,-1004472107780_2276,SELL,4413.50,4417.23,-37.3,12,-60.27,9.9,0,SL確定足突破
2026.09.09 16:20:09,E,600004,-1004472107780_2276,SELL,4413.50,4417.23,-37.3,12,-55.40,9.9,0,SL確定足突破
2026.09.09 16:20:12,C,600002,-1004472107780_2276,SELL,4413.50,4417.23,-37.3,12,-51.43,10.0,0,SL確定足突破
2026.09.09 16:20:15,J,600009,-1004472107780_2276,SELL,4413.50,4417.23,-37.3,12,-49.34,10.0,0,SL確定足突破
2026.09.09 16:20:18,H,600007,-1004472107780_2276,SELL,4413.50,4417.23,-37.3,12,-54.52,10.1,0,SL確定足突破
2026.09.09 16:20:22,S,600018,-1004472107780_2276,SELL,4413.50,4417.23,-37.3,12,-60.91,10.2,0,SL確定足突破
2026.09.09 16:20:25,U,600020,-1004472107780_2276,SELL,4413.50,4417.23,-37.3,12,-65.64,10.3,0,SL確定足突破
2026.09.09 16:20:28,T,600019,-1004472107780_2276,SELL,4413.50,4417.23,-37.3,12,-64.17,10.2,0,SL確定足突破
2026.09.09 16:20:31,I,600008,-1004472107780_2276,SELL,4413.50,4417.23,-37.3,12,-58.70,10.3,0,SL確定足突破
2026.09.09 16:20:34,P,600015,-1004472107780_2276,SELL,4413.50,4417.23,-37.3,12,-63.84,10.4,0,SL確定足突破
2026.09.09 16:23:15,P,600015,-1004472107780_2192,BUY,4401.01,4421.20,201.9,0,0.00,0.0,1,P:全決済
2026.09.09 16:24:20,S,600018,-1004472107780_2188,BUY,4404.98,4425.08,201.0,1,18.64,1441.5,1,S:2段目
2026.09.09 16:25:31,F,600005,-1004472107780_2281,SELL,4430.10,4428.03,20.7,6,0.50,0.5,6,F:半数決済(+20p)
2026.09.09 16:25:37,C,600002,-1004472107780_2281,SELL,4430.10,4425.67,44.3,6,9.29,0.7,6,C:TP1到達
2026.09.09 16:25:40,G,600006,-1004472107780_2281,SELL,4430.10,4425.67,44.3,4,8.15,0.7,8,G:1段目(+40p)
2026.09.09 16:25:43,J,600009,-1004472107780_2281,SELL,4430.10,4425.67,44.3,6,10.78,0.7,6,J:TP1到達
2026.09.09 16:25:48,H,600007,-1004472107780_2281,SELL,4430.10,4425.67,44.3,6,2.01,1.0,6,H:TP1到達
2026.09.09 16:30:17,F,600005,-1004472107780_2285,SELL,4431.55,4429.54,20.1,5,-6.74,1.1,5,F:半数決済(+20p)
2026.09.09 16:31:02,G,600006,-1004472107780_2281,SELL,4430.10,4431.95,-18.5,8,-23.67,5.9,0,SL確定足突破
2026.09.09 16:31:05,Q,600016,-1004472107780_2281,SELL,4430.10,4431.95,-18.5,12,-34.51,6.3,0,SL確定足突破
2026.09.09 16:31:08,T,600019,-1004472107780_2281,SELL,4430.10,4431.95,-18.5,12,-21.25,6.2,0,SL確定足突破
2026.09.09 16:31:11,E,600004,-1004472107780_2281,SELL,4430.10,4431.95,-18.5,12,-2.94,6.0,0,SL確定足突破
2026.09.09 16:31:14,K,600010,-1004472107780_2281,SELL,4429.77,4431.95,-21.8,12,-6.41,5.8,0,SL確定足突破
2026.09.09 16:31:18,S,600018,-1004472107780_2281,SELL,4430.10,4431.95,-18.5,12,-25.99,6.4,0,SL確定足突破
2026.09.09 16:31:21,U,600020,-1004472107780_2281,SELL,4430.10,4431.95,-18.5,12,-21.23,6.4,0,SL確定足突破
2026.09.09 16:31:24,P,600015,-1004472107780_2281,SELL,4430.10,4431.95,-18.5,12,-27.15,6.6,0,SL確定足突破
2026.09.09 16:31:42,H,600007,-1004472107780_2285,SELL,4432.56,4428.53,40.3,6,0.43,2.7,6,H:TP1到達
2026.09.09 16:31:45,C,600002,-1004472107780_2285,SELL,4432.56,4428.53,40.3,6,3.25,3.0,6,C:TP1到達
2026.09.09 16:31:50,J,600009,-1004472107780_2285,SELL,4432.56,4428.53,40.3,6,-2.36,2.7,6,J:TP1到達
2026.09.09 16:31:52,G,600006,-1004472107780_2285,SELL,4432.56,4428.53,40.3,4,-5.92,2.9,8,G:1段目(+40p)
2026.09.09 16:34:10,F,600005,-1004472107780_2289,SELL,4433.06,4430.92,21.4,5,-2.33,0.7,4,F:半数決済(+20p)
2026.09.09 16:35:09,G,600006,-1004472107780_2289,SELL,4433.06,4428.93,41.3,3,4.09,2.0,6,G:1段目(+40p)
2026.09.09 16:35:12,H,600007,-1004472107780_2289,SELL,4433.06,4428.93,41.3,5,9.40,1.6,4,H:TP1到達
2026.09.09 16:35:15,J,600009,-1004472107780_2289,SELL,4433.06,4428.93,41.3,5,5.17,1.9,4,J:TP1到達
2026.09.09 16:35:19,C,600002,-1004472107780_2289,SELL,4433.06,4428.93,41.3,5,9.55,1.9,4,C:TP1到達
2026.09.09 16:35:27,E,600004,-1004472107780_2289,SELL,4433.06,4428.62,44.4,0,0.00,0.0,9,E:建値移動(決済なし)
2026.09.09 16:36:04,E,600004,-1004472107780_2289,SELL,4433.06,4427.94,51.2,4,19.09,2.2,4,E:1.1倍水準到達
2026.09.09 16:36:13,E,600004,-1004472107780_2285,SELL,4432.56,4427.94,46.2,0,0.00,0.0,12,E:建値移動(決済なし)
2026.09.09 16:36:30,E,600004,-1004472107780_2285,SELL,4432.56,4426.97,55.9,6,17.44,7.8,6,E:1.1倍水準到達
2026.09.09 16:37:27,R,600017,-1004472107780_2289,SELL,4433.06,4425.32,77.4,5,29.53,3.8,4,R:半数決済
2026.09.09 16:37:29,I,600008,-1004472107780_2289,SELL,4433.06,4425.32,77.4,5,28.12,4.1,4,I:TP1(半数)
2026.09.09 16:38:00,Q,600016,-1004472107780_2188,BUY,4405.00,4426.08,210.8,1,20.13,1455.3,0,SL確定足突破
2026.09.09 16:38:03,G,600006,-1004472107780_2289,SELL,4433.06,4424.94,81.2,3,18.76,4.6,3,G:2段目(+80p)
2026.09.09 16:38:04,T,600019,-1004472107780_2289,SELL,4433.06,4424.94,81.2,5,25.77,4.6,4,T:半数決済
2026.09.09 16:38:11,T,600019,-1004472107780_2285,SELL,4432.56,4424.42,81.4,6,26.48,9.0,6,T:半数決済
2026.09.09 16:38:14,G,600006,-1004472107780_2285,SELL,4432.56,4424.42,81.4,4,23.62,8.6,4,G:2段目(+80p)
2026.09.09 16:38:15,E,600004,-1004472107780_2289,SELL,4433.06,4423.85,92.1,4,34.45,4.4,0,E:2.0倍水準到達
2026.09.09 16:38:24,E,600004,-1004472107780_2285,SELL,4432.56,4423.54,90.2,6,47.94,8.3,0,E:2.0倍水準到達
2026.09.09 16:39:16,S,600018,-1004472107780_2289,SELL,4433.06,4422.93,101.3,3,21.26,5.9,6,S:1段目
2026.09.09 16:39:16,H,600007,-1004472107780_2289,SELL,4433.06,4422.93,101.3,0,0.00,0.0,4,H:建値移動(決済なし)
2026.09.09 16:39:17,P,600015,-1004472107780_2289,SELL,4433.06,4422.93,101.3,5,36.59,6.1,4,P:半数決済
2026.09.09 16:39:27,S,600018,-1004472107780_2285,SELL,4432.56,4422.08,104.8,4,26.37,10.4,7,S:1段目
